Time,X,Y,Pitch,Roll,Yaw
1.180,-1.766,0.507,29.023,-23.037,-3.113,
2.003,-0.088,0.161,-7.852,-1.713,0.260,
2.157,0.470,-0.016,-12.315,0.610,1.872,
2.550,0.342,-0.447,-0.206,-13.821,1.360,
2.672,-0.729,1.033,-2.351,-17.697,0.699,
2.810,0.330,-0.011,0.116,-14.213,1.293,
3.023,0.782,0.132,-8.504,-14.276,-0.699,
3.150,1.099,0.525,-4.510,-13.765,0.673,
3.278,0.252,-0.423,-10.933,-3.007,-0.578,
3.404,0.740,-0.182,-8.228,-14.996,-0.571,
3.533,0.218,-0.021,1.576,-10.301,1.397,
3.683,-0.651,0.068,-5.157,-13.334,0.002,
3.812,0.756,0.336,-5.733,-15.132,0.068,
3.945,0.689,0.211,-6.647,-6.273,0.110,
4.075,0.080,0.472,-8.609,-11.930,-0.385,
4.216,0.161,-0.165,-6.950,-3.979,1.138,
4.348,0.335,0.164,-3.581,-12.618,0.726,
4.477,0.237,0.694,-22.203,-22.499,-3.941,
4.606,0.096,0.266,-2.534,-12.508,1.000,
4.736,0.257,0.348,-1.843,-12.199,1.075,
4.871,0.851,0.529,-2.521,-12.417,1.372,
5.044,1.171,0.127,-13.795,23.996,4.101,
5.551,-0.065,0.151,1.947,11.914,4.858,
5.686,-0.009,0.357,-3.772,-3.909,1.173,
5.818,-0.227,0.441,-2.605,-2.920,1.304,
5.962,-0.045,0.368,-2.199,-5.394,1.295,
6.105,-0.050,0.352,-3.119,-3.759,1.246,
6.248,0.349,0.177,-3.906,-5.792,1.422,
6.385,0.542,0.137,-1.929,-3.943,1.338,
6.521,0.400,0.230,-2.131,-3.813,1.417,
6.665,0.323,0.020,-2.713,-5.878,1.449,
6.800,0.520,0.276,-4.868,-5.841,1.231,
6.935,-0.147,0.110,17.055,1.547,1.504,
7.362,-0.034,-0.065,-1.296,1.111,1.873,
7.505,0.195,-0.369,-1.711,-1.233,1.622,
7.652,-0.160,-0.441,-1.921,-3.871,1.537,
7.792,0.188,0.038,-2.658,-3.293,1.551,
7.931,0.001,-0.014,-0.736,-1.792,1.576,
8.070,-0.756,0.006,-3.604,-3.961,1.207,
8.209,-0.629,0.572,-2.357,-4.494,1.309,
