Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,3.717,0,0.426,0.065,-0.045,0.418,0.287,0.373,-3.091,
1,3.760,0,0.428,0.077,-0.039,0.419,0.033,0.121,3.101,
2,3.806,0,0.424,0.077,-0.039,0.415,-0.009,0.087,3.085,
3,3.850,0,0.427,0.076,-0.038,0.419,0.022,0.101,3.076,
4,3.894,0,0.425,0.074,-0.037,0.417,-0.008,0.052,3.075,
5,3.939,0,0.423,0.074,-0.037,0.415,-0.013,0.058,3.076,
6,3.984,0,0.423,0.075,-0.038,0.414,0.009,0.091,3.072,
7,4.028,0,0.422,0.076,-0.038,0.413,0.016,0.106,3.072,
8,4.073,0,0.421,0.078,-0.037,0.412,-0.003,0.069,3.079,
9,4.119,0,0.421,0.079,-0.037,0.412,-0.005,0.071,3.081,
10,4.163,0,0.423,0.080,-0.037,0.414,0.008,0.096,3.079,
11,4.207,0,0.424,0.081,-0.036,0.414,0.010,0.096,3.079,
12,4.293,0,0.422,0.078,-0.037,0.413,-0.012,0.085,3.075,
13,4.334,0,0.422,0.074,-0.038,0.413,-0.029,0.072,3.069,
14,4.376,0,0.421,0.069,-0.040,0.414,-0.044,0.081,3.060,
15,4.416,0,0.423,0.065,-0.042,0.416,-0.055,0.084,3.054,
16,4.457,0,0.428,0.062,-0.041,0.421,-0.035,0.102,3.043,
17,4.577,0,0.429,0.065,-0.006,0.424,0.066,0.079,3.062,
18,4.618,0,0.413,0.064,0.003,0.408,-0.048,0.019,3.072,
19,4.781,0,0.485,0.076,-0.030,0.478,-0.095,0.203,3.081,
20,4.820,0,0.499,0.079,-0.030,0.491,-0.033,0.200,3.089,
21,4.858,0,0.516,0.070,-0.032,0.511,-0.116,0.221,3.087,
22,4.898,0,0.522,0.058,-0.033,0.518,-0.065,0.265,3.064,
23,4.939,0,0.525,0.054,-0.029,0.521,-0.027,0.299,3.059,
24,4.979,0,0.527,0.059,-0.022,0.524,-0.069,0.281,3.074,
25,5.019,0,0.527,0.061,-0.013,0.523,-0.089,0.280,3.089,
26,5.056,0,0.533,0.062,-0.008,0.529,-0.057,0.285,3.087,
27,5.095,0,0.543,0.057,-0.002,0.540,-0.086,0.320,3.086,
28,5.172,0,0.578,0.032,-0.003,0.577,-0.102,0.276,3.069,
29,5.252,0,0.581,0.009,-0.021,0.580,-0.089,0.378,3.055,
30,5.295,0,0.581,0.007,-0.024,0.580,-0.060,0.400,3.038,
31,5.336,0,0.579,0.008,-0.022,0.579,-0.074,0.438,3.039,
32,5.378,0,0.579,0.010,-0.020,0.578,-0.042,0.423,3.040,
33,5.419,0,0.579,0.009,-0.020,0.579,-0.044,0.404,3.044,
34,5.461,0,0.581,0.007,-0.024,0.580,-0.047,0.405,3.044,
35,5.502,0,0.582,0.006,-0.028,0.581,-0.040,0.402,3.041,
36,5.543,0,0.582,0.007,-0.028,0.581,-0.042,0.406,3.042,
37,5.584,0,0.580,0.009,-0.023,0.580,-0.040,0.410,3.052,
38,5.625,0,0.572,0.013,-0.017,0.572,-0.108,0.368,3.085,
39,5.664,0,0.574,0.013,-0.017,0.574,-0.041,0.369,3.070,
40,5.705,0,0.575,0.012,-0.019,0.574,-0.037,0.388,3.067,
41,5.746,0,0.576,0.012,-0.020,0.575,-0.030,0.392,3.066,
42,5.786,0,0.576,0.011,-0.018,0.576,-0.029,0.385,3.068,
43,5.827,0,0.576,0.011,-0.018,0.576,-0.027,0.371,3.068,
44,5.867,0,0.577,0.010,-0.019,0.576,-0.017,0.370,3.065,
45,5.906,0,0.576,0.010,-0.019,0.576,-0.018,0.380,3.063,
46,5.949,0,0.576,0.011,-0.019,0.575,-0.022,0.385,3.064,
47,5.989,0,0.575,0.011,-0.018,0.575,-0.017,0.377,3.067,
48,6.032,0,0.575,0.010,-0.018,0.574,-0.020,0.370,3.066,
49,6.073,0,0.574,0.010,-0.018,0.574,-0.035,0.379,3.067,
50,6.114,0,0.574,0.010,-0.017,0.574,-0.027,0.380,3.067,
51,6.155,0,0.574,0.010,-0.017,0.573,-0.026,0.383,3.065,
52,6.196,0,0.574,0.010,-0.017,0.574,-0.020,0.379,3.063,
53,6.246,0,0.574,0.010,-0.018,0.574,-0.027,0.373,3.067,
54,6.286,0,0.575,0.011,-0.018,0.574,-0.029,0.373,3.071,
55,6.327,0,0.575,0.011,-0.018,0.575,-0.026,0.381,3.069,
56,6.368,0,0.575,0.011,-0.018,0.575,-0.028,0.390,3.067,
57,6.410,0,0.576,0.010,-0.018,0.576,-0.025,0.387,3.066,
58,6.453,0,0.576,0.010,-0.018,0.576,-0.029,0.383,3.068,
59,6.493,0,0.576,0.010,-0.017,0.576,-0.020,0.379,3.067,
60,6.534,0,0.575,0.011,-0.017,0.575,-0.012,0.373,3.067,
61,6.579,0,0.575,0.011,-0.020,0.574,-0.016,0.376,3.073,
62,6.619,0,0.573,0.011,-0.022,0.572,-0.021,0.371,3.074,
63,6.661,0,0.572,0.011,-0.024,0.571,-0.016,0.373,3.074,
64,6.702,0,0.573,0.015,-0.026,0.572,-0.020,0.392,3.081,
65,6.743,0,0.574,0.016,-0.025,0.573,-0.013,0.396,3.083,
66,6.784,0,0.576,0.019,-0.023,0.576,-0.011,0.402,3.091,
67,6.826,0,0.577,0.023,-0.018,0.576,-0.014,0.386,3.101,
68,6.866,0,0.576,0.026,-0.013,0.575,-0.015,0.388,3.111,
69,6.906,0,0.575,0.027,-0.008,0.574,-0.016,0.387,3.113,
70,7.108,0,0.549,0.046,0.068,0.543,-0.018,0.295,-3.120,
71,7.156,0,0.546,0.044,0.075,0.539,-0.015,0.255,-3.124,
72,7.196,0,0.547,0.042,0.084,0.539,0.036,0.309,-3.128,
73,7.512,0,0.547,0.022,0.088,0.540,0.005,0.215,3.105,
74,7.559,0,0.549,0.026,0.092,0.540,-0.002,0.243,3.112,
75,7.607,0,0.545,0.029,0.095,0.536,0.017,0.218,3.117,
76,7.654,0,0.544,0.030,0.093,0.535,-0.033,0.201,3.129,
77,7.748,0,0.546,0.026,0.080,0.539,-0.019,0.215,3.117,
78,7.795,0,0.547,0.025,0.078,0.541,0.024,0.234,3.103,
79,7.845,0,0.546,0.025,0.079,0.540,0.026,0.243,3.104,
80,7.892,0,0.545,0.025,0.081,0.539,0.019,0.233,3.107,
81,7.939,0,0.545,0.025,0.082,0.538,0.032,0.212,3.108,
82,7.986,0,0.545,0.025,0.081,0.538,0.025,0.218,3.109,
83,8.033,0,0.547,0.027,0.079,0.541,0.025,0.228,3.113,
84,8.081,0,0.549,0.030,0.077,0.543,0.015,0.219,3.113,
85,8.128,0,0.546,0.034,0.074,0.540,0.022,0.183,3.119,
86,8.176,0,0.541,0.039,0.073,0.534,0.011,0.163,3.135,
87,8.224,0,0.534,0.042,0.074,0.527,0.000,0.170,-3.138,
88,8.273,0,0.529,0.043,0.075,0.522,0.013,0.193,-3.134,
89,8.321,0,0.528,0.041,0.075,0.521,0.026,0.204,-3.137,
90,8.368,0,0.528,0.038,0.073,0.522,0.042,0.175,-3.132,
91,8.414,0,0.525,0.035,0.070,0.519,0.034,0.146,-3.124,
92,8.463,0,0.521,0.034,0.068,0.515,0.032,0.133,-3.125,
93,8.508,0,0.518,0.035,0.067,0.512,0.035,0.136,-3.133,
94,8.558,0,0.517,0.039,0.066,0.511,0.045,0.127,3.141,
95,8.655,0,0.506,0.048,0.065,0.499,0.051,0.144,-3.141,
96,8.699,0,0.501,0.050,0.066,0.494,0.064,0.142,-3.137,
97,8.745,0,0.499,0.053,0.065,0.492,0.087,0.125,-3.134,
98,8.792,0,0.497,0.056,0.061,0.490,0.090,0.096,-3.123,
99,8.904,0,0.476,0.062,0.046,0.469,-0.027,0.080,-3.107,
100,8.997,0,0.389,0.056,0.004,0.384,-0.198,-0.210,-2.991,
