Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
6.125,0.184,-0.145,-9.426,6.546,174.752,0.030,-0.024,0.038,231.603,
6.183,0.203,-0.162,22.331,4.272,169.343,0.328,-0.280,0.431,229.508,
6.246,0.218,-0.158,16.258,13.107,169.651,0.244,0.063,0.252,345.447,
6.305,0.244,-0.137,18.086,2.733,171.669,0.441,0.358,0.568,320.949,
6.367,0.257,-0.127,1.019,8.763,172.469,0.217,0.161,0.270,323.303,
6.425,0.258,-0.138,11.673,0.898,170.101,0.015,-0.191,0.191,184.396,
6.485,0.263,-0.136,7.271,3.557,170.623,0.072,0.031,0.079,336.514,
6.547,0.263,-0.133,12.007,3.936,170.701,0.006,0.055,0.055,276.282,
6.607,0.267,-0.128,4.639,2.717,171.565,0.066,0.078,0.102,310.300,
6.686,0.268,-0.122,1.948,0.941,173.242,0.013,0.074,0.075,280.295,
6.748,0.271,-0.049,-1.457,-5.126,-167.420,0.040,1.175,1.176,271.971,
6.813,0.261,-0.009,2.287,-5.238,-153.920,-0.146,0.623,0.639,13.156,
6.935,0.175,-0.273,19.235,23.252,145.572,-0.703,-2.163,2.275,107.995,
7.115,0.270,-0.051,24.701,3.991,-159.612,0.527,1.236,1.343,293.092,
7.176,0.275,-0.081,-1.667,3.163,-167.102,0.086,-0.497,0.505,189.838,
7.477,0.225,0.193,21.944,14.341,175.464,-0.166,0.909,0.924,10.365,
7.540,0.225,0.189,21.948,13.732,175.657,-0.003,-0.061,0.061,93.028,
7.717,0.242,-0.049,14.713,9.555,-178.262,0.093,-1.343,1.346,183.975,
7.778,0.187,-0.041,-7.845,-2.436,-170.095,-0.886,0.130,0.896,81.667,
7.900,0.262,-0.108,28.148,5.286,-179.186,0.613,-0.549,0.823,228.135,
7.961,0.290,-0.108,14.827,7.155,-178.124,0.472,0.001,0.472,359.832,
8.021,0.293,-0.102,6.446,0.299,-177.823,0.048,0.092,0.103,297.580,
8.083,0.286,-0.113,13.837,12.469,-177.938,-0.107,-0.172,0.202,122.065,
8.269,0.205,-0.358,4.778,-8.855,160.607,-0.440,-1.318,1.390,108.471,
8.328,0.193,-0.366,3.139,-4.937,159.844,-0.193,-0.139,0.238,144.180,
8.392,0.185,-0.361,4.373,-0.605,159.081,-0.132,0.075,0.152,60.344,
8.452,0.192,-0.340,4.538,5.122,161.028,0.126,0.350,0.372,289.833,
8.514,0.195,-0.337,5.365,4.143,161.438,0.052,0.060,0.080,310.619,
8.576,0.200,-0.337,-4.496,2.632,161.836,0.073,-0.006,0.074,265.028,
8.638,0.207,-0.328,-4.550,2.711,163.571,0.120,0.140,0.185,310.704,
8.699,0.212,-0.322,3.292,4.545,165.125,0.074,0.108,0.131,304.385,
8.760,0.214,-0.319,10.669,4.677,165.092,0.040,0.043,0.059,313.187,
8.881,0.259,-0.145,32.898,-17.263,-173.542,0.368,1.427,1.474,284.439,
8.945,0.251,-0.068,44.278,-33.066,-160.803,-0.130,1.215,1.222,6.126,
11.508,-0.040,0.110,6.643,-23.332,-91.692,-0.113,0.069,0.133,58.528,
11.567,-0.050,0.119,6.921,-23.288,-88.289,-0.166,0.157,0.229,46.746,
11.626,-0.069,0.126,12.081,-18.910,-85.037,-0.323,0.127,0.347,68.546,
11.683,-0.106,0.120,23.978,-18.344,-82.420,-0.660,-0.101,0.668,171.272,
11.798,-0.146,0.115,20.489,-18.452,-84.943,-0.338,-0.045,0.341,172.476,
11.859,-0.151,0.120,15.453,-18.648,-87.551,-0.093,0.076,0.121,50.812,
11.922,-0.148,0.131,6.075,-16.703,-92.655,0.060,0.179,0.189,288.542,
11.979,-0.144,0.133,3.385,-15.433,-93.864,0.055,0.039,0.067,324.798,
12.038,-0.142,0.135,1.752,-14.871,-94.215,0.037,0.022,0.043,329.752,
12.095,-0.142,0.134,1.847,-15.030,-94.048,0.008,-0.005,0.009,235.113,
12.156,-0.142,0.133,2.539,-14.648,-93.830,-0.010,-0.016,0.019,122.762,
12.215,-0.142,0.133,2.360,-15.125,-93.942,0.014,-0.004,0.015,255.095,
12.272,-0.137,0.132,0.996,-15.735,-94.041,0.084,-0.016,0.086,259.097,
12.331,-0.135,0.131,-0.448,-16.141,-94.276,0.032,-0.014,0.035,246.509,
12.388,-0.134,0.130,-3.092,-17.455,-94.413,0.011,-0.016,0.020,214.645,
12.449,-0.137,0.131,-4.785,-19.605,-93.846,-0.042,0.005,0.042,82.674,
12.506,-0.137,0.136,-10.612,-23.595,-94.193,-0.011,0.100,0.100,6.454,
12.562,-0.135,0.139,-13.866,-24.964,-95.568,0.033,0.052,0.061,302.906,
12.618,-0.128,0.143,-19.185,-28.932,-99.165,0.129,0.059,0.142,335.440,
12.672,-0.121,0.144,-21.744,-30.862,-101.332,0.138,0.034,0.142,346.069,
12.728,-0.115,0.146,-23.606,-31.827,-102.797,0.099,0.023,0.102,347.164,
12.784,-0.112,0.146,-25.452,-32.220,-103.934,0.061,0.012,0.062,349.082,
12.842,-0.107,0.146,-27.601,-31.736,-104.806,0.088,-0.002,0.088,268.658,
12.899,-0.103,0.146,-28.551,-31.467,-105.187,0.061,-0.004,0.061,266.140,
12.955,-0.099,0.145,-29.618,-31.307,-105.613,0.070,-0.015,0.072,257.567,
13.010,-0.095,0.145,-30.867,-31.298,-106.226,0.082,-0.006,0.082,265.909,
13.066,-0.091,0.145,-32.559,-31.184,-107.103,0.075,0.000,0.075,359.737,
13.121,-0.086,0.145,-34.637,-31.363,-108.267,0.078,-0.002,0.078,268.841,
13.179,-0.081,0.145,-36.817,-31.569,-109.463,0.084,0.005,0.084,356.517,
13.233,-0.073,0.145,-39.973,-32.294,-111.522,0.157,0.008,0.157,357.052,
13.283,-0.070,0.149,-40.952,-32.687,-112.275,0.061,0.065,0.090,313.079,
