Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,3.760,0,1.091,0.060,-0.098,1.085,-0.292,-0.190,1.473,
1,3.893,0,1.108,0.054,-0.086,1.104,-0.337,-0.201,1.463,
2,4.015,0,1.121,0.038,-0.066,1.119,-0.252,-0.153,1.457,
3,4.283,0,1.116,0.033,-0.064,1.114,-0.179,-0.101,1.466,
4,4.428,0,1.118,0.034,-0.064,1.116,-0.187,-0.111,1.464,
5,4.556,0,1.118,0.034,-0.065,1.115,-0.215,-0.126,1.461,
6,4.683,0,1.113,0.035,-0.068,1.111,-0.195,-0.101,1.466,
7,4.818,0,1.115,0.036,-0.069,1.112,-0.219,-0.120,1.465,
8,4.947,0,1.114,0.036,-0.069,1.112,-0.200,-0.111,1.466,
9,5.075,0,1.115,0.037,-0.070,1.112,-0.206,-0.118,1.464,
10,5.210,0,1.108,0.042,-0.078,1.105,-0.212,-0.118,1.467,
11,5.337,0,1.106,0.039,-0.081,1.102,-0.197,-0.082,1.469,
