Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.688,4.102,1.284,-3.956,-9.046,-10.113,1.526,0.478,1.599,342.618,-3.762,
2.810,4.106,1.289,-13.291,-10.023,-8.500,0.038,0.041,0.056,313.096,13.307,
2.915,4.113,1.289,-12.480,-8.831,-7.720,0.063,-0.001,0.063,269.110,7.400,
3.034,4.112,1.285,-7.287,-8.710,-5.428,-0.010,-0.032,0.034,107.994,19.303,
3.142,4.108,1.283,0.743,-7.506,-3.013,-0.033,-0.014,0.036,156.917,22.408,
3.254,4.109,1.281,0.549,-7.597,-1.083,0.004,-0.020,0.020,192.265,17.136,
3.361,4.113,1.279,1.345,-7.073,-0.614,0.037,-0.019,0.042,242.731,4.373,
3.468,4.114,1.279,0.581,-6.839,-0.184,0.012,-0.005,0.013,246.913,4.031,
3.578,4.118,1.275,2.088,-6.980,-0.177,0.035,-0.036,0.050,224.425,0.059,
3.691,4.121,1.273,2.333,-7.043,-1.102,0.032,-0.018,0.036,241.190,-8.178,
3.800,4.122,1.273,2.399,-6.211,-0.838,0.003,0.002,0.004,325.756,2.425,
3.924,4.122,1.273,2.525,-6.111,-0.654,0.002,0.001,0.002,342.199,1.479,
4.031,4.122,1.273,2.678,-5.970,-0.489,0.004,-0.002,0.005,250.999,1.555,
4.136,4.121,1.274,1.455,-7.618,-0.350,-0.009,0.013,0.016,33.795,1.313,
4.236,4.126,1.270,-1.489,-9.220,-2.042,0.047,-0.043,0.064,227.877,-16.982,
4.353,4.126,1.268,-2.988,-11.315,-2.506,-0.001,-0.020,0.020,92.823,-3.967,
4.466,4.121,1.269,-1.236,-13.898,-2.374,-0.043,0.015,0.046,70.827,1.170,
4.575,4.121,1.270,2.940,-13.073,-2.162,0.001,0.008,0.008,274.320,1.938,
4.708,4.120,1.271,5.535,-15.898,-2.148,-0.011,0.003,0.011,72.995,0.108,
4.820,4.119,1.271,4.580,-15.426,-2.848,-0.007,0.001,0.007,84.862,-6.247,
4.934,4.119,1.271,3.055,-13.449,-3.092,-0.002,-0.002,0.003,138.119,-2.143,
5.056,4.118,1.271,1.985,-12.894,-3.339,-0.002,0.000,0.002,82.201,-2.019,
5.166,4.118,1.270,1.396,-12.427,-3.372,-0.001,-0.001,0.001,145.720,-0.302,
5.278,4.106,1.263,1.868,-10.855,-0.564,-0.107,-0.071,0.129,146.400,25.235,
5.390,4.099,1.259,1.080,-10.852,0.861,-0.063,-0.034,0.072,151.603,12.612,
5.497,4.099,1.258,1.892,-10.417,1.235,-0.004,-0.009,0.009,115.679,3.518,
5.608,4.099,1.258,1.153,-10.733,1.074,0.005,0.006,0.008,309.105,-1.448,
5.715,4.099,1.258,0.952,-10.038,1.187,-0.006,-0.004,0.007,144.745,1.047,
5.826,4.099,1.258,0.805,-10.128,1.199,-0.003,0.000,0.003,87.298,0.104,
5.944,4.098,1.258,0.696,-9.842,1.259,-0.005,-0.004,0.007,136.914,0.507,
6.058,4.097,1.257,0.494,-10.274,1.292,-0.006,-0.003,0.006,155.933,0.291,
6.172,4.096,1.256,1.050,-10.072,1.491,-0.012,-0.009,0.015,140.597,1.739,
6.286,4.096,1.256,1.707,-10.371,1.540,-0.004,0.002,0.005,65.054,0.436,
6.401,4.095,1.257,2.072,-11.574,1.441,-0.004,0.001,0.004,71.935,-0.864,
6.506,4.095,1.257,2.394,-12.622,1.357,-0.005,0.006,0.007,40.647,-0.803,
6.626,4.095,1.257,3.715,-13.610,1.540,0.000,-0.001,0.001,183.412,1.527,
6.746,4.094,1.257,4.152,-14.917,1.499,-0.003,-0.000,0.003,178.273,-0.346,
6.853,4.096,1.258,4.567,-15.090,1.382,0.020,0.006,0.021,342.852,-1.096,
6.969,4.103,1.261,5.018,-16.448,0.780,0.053,0.027,0.060,333.247,-5.175,
7.084,4.104,1.262,6.480,-17.422,0.876,0.015,0.008,0.017,331.222,0.836,
7.197,4.108,1.266,6.149,-20.382,0.189,0.032,0.041,0.052,308.136,-6.077,
